Issuer,Currency,Due_Date,Coupon,ISIN
United Parcel Service Inc.,EUR,15.07.2020,"0,210%",XS1323463056
Magna International Inc.,EUR,24.11.2023,"1,900%",XS1323910684
ING Bank N.V.,EUR,24.11.2020,"0,750%",XS1324217733
Stadshypotek AB,EUR,24.02.2021,"0,375%",XS1324397964
A.P.Moeller-Maersk A/S,EUR,24.11.2022,"1,500%",XS1324446092
Landwirtschaftliche Rentenbank,EUR,24.11.2022,"0,250%",XS1324535514
B.A.T. International Finance PLC,EUR,23.05.2022,"1,000%",XS1324928750
Santander UK PLC,EUR,25.11.2020,"0,875%",XS1325080890
Booking Holdings Inc.,EUR,25.11.2022,"2,150%",XS1325825211
Mastercard Inc.,EUR,01.12.2022,"1,100%",XS1327027998
Aegon Bank N.V.,EUR,01.12.2020,"0,250%",XS1327151228
SKF AB,EUR,02.12.2022,"1,625%",XS1327531486
CRH Funding B.V.,EUR,09.01.2024,"1,875%",XS1328173080
Grenke Finance PLC,EUR,05.10.2020,"1,375%",XS1328242406
Swedbank AB,EUR,04.01.2021,"0,625%",XS1328699878
ISS Global A/S,EUR,07.01.2021,"1,125%",XS1330300341
Heineken N.V.,EUR,07.12.2024,"1,500%",XS1330434389
Banco Santander S.A.,EUR,14.12.2022,"1,375%",XS1330948818
Ball Corp.,EUR,15.12.2023,"4,375%",XS1330978567
Commerzbank AG,USD,17.12.2020,"1,850%",XS1332520292
Svenska Handelsbanken AB [publ],EUR,14.12.2022,"1,125%",XS1333139746
Goodyear Europe B.V.,EUR,15.12.2023,"3,750%",XS1333193875
Westpac Banking Corp.,EUR,16.02.2021,"0,875%",XS1333702691
"Lettland, Republik",EUR,15.12.2020,"0,500%",XS1333704713
Repsol International Finance B.V.,EUR,16.12.2020,"2,125%",XS1334225361
Kommunalbanken AS,ZAR,22.12.2028,"0,000%",XS1335427958
International Bank for Reconstruction and Development,EUR,14.01.2036,"1,500%",XS1342506158
BNG Bank N.V.,EUR,12.01.2026,"1,000%",XS1342516629
European Investment Bank (EIB),MXN,19.01.2021,"4,750%",XS1342860167
DNB Boligkreditt A.S.,EUR,14.01.2021,"0,375%",XS1344745481
ABN AMRO Bank N.V.,EUR,14.01.2026,"0,875%",XS1344751968
BNP Paribas S.A.,EUR,15.01.2023,"1,125%",XS1345331299
Lloyds Bank PLC,EUR,18.01.2021,"0,375%",XS1346089359
Banque Fédérative du Crédit Mutuel S.A. [BFCM],EUR,19.01.2026,"1,625%",XS1346115295
"Polen, Republik",EUR,19.01.2026,"1,500%",XS1346201616
"Polen, Republik",EUR,18.01.2036,"2,375%",XS1346201889
AXA S.A.,EUR,08.07.2047,"3,375%",XS1346228577
ABN AMRO Bank N.V.,EUR,18.01.2028,"2,875%",XS1346254573
Banco Bilbao Vizcaya Argentaria S.A. (BBVA),EUR,20.01.2021,"1,000%",XS1346315200
Erste Group Bank AG,EUR,19.01.2023,"0,625%",XS1346557637
Daimler Canada Finance Inc.,NOK,20.01.2021,"1,875%",XS1346622803
Royal Bank of Canada,EUR,19.01.2021,"0,376%",XS1346650929
"Chile, Republik",EUR,20.01.2026,"1,750%",XS1346652891
Mondelez International Inc.,EUR,20.01.2023,"1,625%",XS1346872580
OP Yrityspankki Oyj,EUR,21.06.2021,"0,875%",XS1347564970
European Investment Bank (EIB),SEK,12.11.2026,"1,750%",XS1347679448
Landwirtschaftliche Rentenbank,EUR,22.01.2024,"0,375%",XS1347758663
Dexia Crédit Local S.A.,EUR,25.01.2023,"0,750%",XS1348774644
European Bank for Reconstruction and Development,RUB,22.01.2026,"0,000%",XS1349367547
Kreditanstalt für Wiederaufbau,SEK,27.01.2021,"0,500%",XS1351716896
Commonwealth Bank of Australia,EUR,10.02.2021,"0,375%",XS1357027496
AIB Mortgage Bank,EUR,04.02.2023,"0,875%",XS1357663050
Swedbank Hypotek AB,EUR,10.02.2021,"0,150%",XS1361548693
European Investment Bank (EIB),EUR,15.09.2036,"1,125%",XS1361554584
Nederlandse Waterschapsbank N.V.,EUR,10.02.2021,"0,050%",XS1361603209
Skandinaviska Enskilda Banken,EUR,11.02.2021,"0,150%",XS1362319284
FCE Bank PLC,EUR,11.02.2021,"1,660%",XS1362349943
The Goldman Sachs Group Inc.,EUR,12.02.2031,"3,000%",XS1362373224
BMW Finance N.V.,EUR,15.02.2022,"1,000%",XS1363560977
Nordea Bank Abp,EUR,22.02.2023,"1,000%",XS1368470156
Stadshypotek AB,EUR,22.02.2023,"0,375%",XS1368543135
ING Bank N.V.,EUR,22.02.2021,"0,750%",XS1368576572
BNG Bank N.V.,EUR,22.02.2023,"0,250%",XS1368698251
Amgen Inc.,EUR,25.02.2022,"1,250%",XS1369278251
Amgen Inc.,EUR,25.02.2026,"2,000%",XS1369278764
Vereinigte Mexikanische Staaten,EUR,23.02.2022,"1,875%",XS1369322927
Vereinigte Mexikanische Staaten,EUR,23.02.2031,"3,375%",XS1369323149
Skandinaviska Enskilda Banken,EUR,24.08.2021,"0,750%",XS1370669639
Banco Santander S.A.,EUR,03.03.2021,"1,375%",XS1370695477
Macquarie Bank Ltd.,EUR,03.03.2021,"0,375%",XS1371532547
Roche Finance Europe B.V.,EUR,27.02.2023,"0,500%",XS1371715118
Vodafone Group PLC,EUR,25.08.2021,"1,250%",XS1372838240
Vodafone Group PLC,EUR,25.08.2023,"1,750%",XS1372838679
Vodafone Group PLC,EUR,25.08.2026,"2,200%",XS1372839214
Deutsche Bahn Finance GmbH,EUR,02.03.2026,"0,750%",XS1372911690
Nationwide Building Society,EUR,25.01.2021,"0,125%",XS1374414891
Royal Bank of Canada,EUR,11.03.2021,"0,125%",XS1374751201
International Business Machines Corp.,EUR,07.09.2021,"0,500%",XS1375841159
International Business Machines Corp.,EUR,06.09.2024,"1,125%",XS1375841233
BP Capital Markets PLC,EUR,03.03.2022,"1,373%",XS1375956569
BP Capital Markets PLC,EUR,03.03.2025,"1,953%",XS1375957294
Deutsche Apotheker- und Ärztebank eG,EUR,07.03.2023,"0,150%",XS1376323652
Unibail-Rodamco-Westfield SE,EUR,09.03.2026,"1,375%",XS1376614118
Nestlé Holdings Inc.,USD,09.03.2021,"1,875%",XS1376845860
SpareBank 1 Boligkreditt AS,EUR,09.03.2023,"0,375%",XS1377237869
"Montenegro, Republik",EUR,10.03.2021,"5,750%",XS1377508996
British Telecommunications PLC,EUR,10.03.2026,"1,750%",XS1377679961
British Telecommunications PLC,EUR,10.03.2021,"0,625%",XS1377680381
British Telecommunications PLC,EUR,10.03.2023,"1,125%",XS1377681272
Coca Cola HBC Finance B.V.,EUR,11.11.2024,"1,875%",XS1377682676
Covestro AG,EUR,25.09.2024,"1,750%",XS1377745937
Covestro AG,EUR,07.10.2021,"1,000%",XS1377763161
The Bank of Nova Scotia,EUR,10.03.2023,"0,375%",XS1377941106
BNP Paribas S.A.,EUR,01.10.2026,"2,875%",XS1378880253
América Móvil S.A.B. de C.V.,EUR,10.03.2024,"1,500%",XS1379122101
Petróleos Mexicanos,EUR,15.03.2023,"5,125%",XS1379158048
Morgan Stanley,EUR,11.03.2024,"1,750%",XS1379171140
HSBC Holdings PLC,EUR,15.03.2022,"1,500%",XS1379182006
HSBC Holdings PLC,EUR,15.03.2027,"2,500%",XS1379184473
DVB Bank SE,EUR,15.09.2021,"1,250%",XS1379591271
Landwirtschaftliche Rentenbank,EUR,16.03.2026,"0,375%",XS1379610675
Dexia Crédit Local S.A.,EUR,16.03.2021,"0,200%",XS1379630608
Securitas AB,EUR,15.03.2022,"1,250%",XS1379779827
Berkshire Hathaway Inc.,EUR,15.03.2024,"1,300%",XS1380334141
Ferrari N.V.,EUR,16.03.2023,"1,500%",XS1380394806
The Royal Bank of Scotland Group PLC,EUR,22.03.2023,"2,500%",XS1382368113
Landesbank Hessen-Thüringen Girozentrale,EUR,21.11.2022,"0,125%",XS1382379318
Fluor Corp. [New],EUR,21.03.2023,"1,750%",XS1382385471
"Bulgarien, Republik",EUR,21.03.2023,"1,875%",XS1382693452
"Bulgarien, Republik",EUR,21.03.2028,"3,000%",XS1382696398
Coöperatieve Rabobank U.A.,EUR,23.03.2026,"1,250%",XS1382784509
Deutsche Telekom International Finance B.V.,EUR,03.04.2028,"1,500%",XS1382791975
Deutsche Telekom International Finance B.V.,EUR,03.04.2023,"0,625%",XS1382792197
Sappi Papier Holding GmbH,EUR,01.04.2023,"4,000%",XS1383922876
Banco Santander S.A.,EUR,04.04.2026,"3,250%",XS1384064587
Barclays PLC,EUR,23.03.2021,"1,875%",XS1385051112
Banque Fédérative du Crédit Mutuel S.A. [BFCM],EUR,24.03.2026,"2,375%",XS1385945131
Nederlandse Waterschapsbank N.V.,USD,24.03.2026,"2,375%",XS1386139841
HeidelbergCement AG,EUR,30.03.2023,"2,250%",XS1387174375
Fiat Chrysler Automobiles N.V.,EUR,29.03.2024,"3,750%",XS1388625425
Deutsche Post AG,EUR,01.04.2021,"0,375%",XS1388661651
Deutsche Post AG,EUR,01.04.2026,"1,250%",XS1388661735
European Investment Bank (EIB),TRY,05.04.2024,"0,000%",XS1388868165
Citigroup Global Markets Holdings Inc.,TRY,24.05.2022,"11,000%",XS1389219566
Danske Bank A/S,EUR,06.05.2021,"0,500%",XS1390245329
Daimler International Finance B.V.,GBP,07.06.2022,"2,125%",XS1391067847
CK Hutchison Finance [16] Ltd.,EUR,06.04.2023,"1,250%",XS1391085740
Lloyds Bank PLC,EUR,11.04.2023,"0,500%",XS1391589626
SBAB Bank AB [publ],EUR,11.05.2021,"0,500%",XS1392159825
Credit Suisse AG [London Branch],EUR,10.04.2026,"1,500%",XS1392459381
Finnvera PLC,EUR,13.04.2026,"0,500%",XS1392927072
European Investment Bank (EIB),EUR,14.04.2026,"0,375%",XS1394055872
Länsförsäkringar Hypotek AB,EUR,12.04.2023,"0,250%",XS1394065756
BNP Paribas S.A.,EUR,11.11.2022,"0,750%",XS1394103789
Telefonica Emisiones S.A.U.,EUR,13.04.2026,"1,460%",XS1394764689
Telefonica Emisiones S.A.U.,EUR,13.04.2022,"0,750%",XS1394777665
ABN AMRO Bank N.V.,EUR,13.04.2031,"1,000%",XS1394791492
Mondi Finance PLC,EUR,15.04.2024,"1,500%",XS1395010397
Credit Agricole S.A. [London Branch],EUR,14.04.2026,"1,250%",XS1395021089
Standard Chartered PLC,USD,12.04.2026,"4,050%",XS1395052639
Telstra Corp. Ltd.,EUR,14.04.2026,"1,125%",XS1395057430
The Export-Import Bank of China,USD,26.04.2021,"2,000%",XS1395523001
The Export-Import Bank of China,USD,26.04.2026,"2,875%",XS1395523779
DNB Boligkreditt A.S.,EUR,18.04.2023,"0,250%",XS1396253236
BMW Finance N.V.,EUR,15.04.2024,"0,750%",XS1396261338
Eurogrid GmbH,EUR,18.04.2028,"1,500%",XS1396285279
BNG Bank N.V.,USD,19.04.2021,"1,625%",XS1396380930
Naturgy Finance B.V.,EUR,19.04.2026,"1,250%",XS1396767854
European Investment Bank (EIB),PLN,25.05.2021,"2,250%",XS1396780105
Deutsche Telekom International Finance B.V.,EUR,19.04.2021,"0,250%",XS1396830058
Kommunalbanken AS,EUR,20.04.2026,"0,625%",XS1397023448
Linde Finance B.V.,EUR,20.04.2028,"1,000%",XS1397134609
Merlin Properties SOCIMI S.A.,EUR,25.04.2023,"2,225%",XS1398336351
Iberdrola International B.V.,EUR,21.04.2026,"1,125%",XS1398476793
Bertelsmann SE & Co. KGaA,EUR,27.04.2026,"1,125%",XS1400165350
Alliander N.V.,EUR,22.04.2026,"0,875%",XS1400167133
Wells Fargo & Co.,EUR,26.04.2021,"0,459%",XS1400169428
EUROFIMA Europäische Gesellschaft für die Finanzierung von Eisen,EUR,25.04.2023,"0,250%",XS1400224546
Distribuidora Internacional de Alimentacion S.A.,EUR,28.04.2021,"1,000%",XS1400342587
MOL Magyar Olaj- és Gázipari Nyrt.,EUR,28.04.2023,"2,625%",XS1401114811
Heineken N.V.,EUR,04.05.2026,"1,000%",XS1401174633
Unibail-Rodamco-Westfield SE,EUR,28.04.2027,"1,125%",XS1401196958
Loxam S.A.S.,EUR,03.05.2023,"3,500%",XS1401324972
Carrefour S.A.,EUR,26.04.2024,"0,750%",XS1401331753
Proven Honour Capital Ltd.,USD,06.05.2026,"4,125%",XS1401816761
International Finance Corp.,MXN,29.04.2021,"4,750%",XS1402169848
State Grid Overseas Investment [2016] Ltd.,EUR,19.05.2022,"1,250%",XS1402176389
JPMorgan Chase & Co.,EUR,29.10.2026,"1,500%",XS1402921412
Unilever N.V.,EUR,29.04.2024,"0,500%",XS1403014936
Unilever N.V.,EUR,29.04.2028,"1,125%",XS1403015156
McDonald's Corp.,EUR,15.01.2021,"0,500%",XS1403263723
McDonald's Corp.,EUR,03.05.2028,"1,750%",XS1403264291
McDonald's Corp.,EUR,15.11.2023,"1,000%",XS1403264374
Enagás Financiaciones S.A.U.,EUR,05.05.2028,"1,375%",XS1403388694
Bank Gospodarstwa Krajowego,EUR,06.05.2026,"1,750%",XS1403619411
Banco de Sabadell S.A.,EUR,06.05.2026,"5,625%",XS1405136364
Telekom Finanzmanagement GmbH,EUR,07.12.2026,"1,500%",XS1405762805
LANXESS AG,EUR,06.12.2076,"4,500%",XS1405763019
OI European Group B.V.,EUR,15.11.2024,"3,125%",XS1405765907
"Bahrain, Königreich",USD,12.10.2028,"7,000%",XS1405766541
Verizon Communications Inc.,EUR,02.11.2028,"1,375%",XS1405766624
Verizon Communications Inc.,EUR,02.04.2025,"0,875%",XS1405766897
United Parcel Service Inc.,EUR,15.11.2028,"1,000%",XS1405767515
PPG Industries Inc.,EUR,03.11.2025,"0,875%",XS1405769487
Verizon Communications Inc.,GBP,02.11.2035,"3,125%",XS1405769727
Ineos Group Holdings S.A.,EUR,01.08.2024,"5,375%",XS1405769990
"Jordanien, Haschemitisches Königreich",USD,31.01.2027,"5,750%",XS1405770220
EnBW Energie Baden-Württemberg AG,EUR,05.04.2077,"3,375%",XS1405770907
Thermo Fisher Scientific Inc.,EUR,12.09.2028,"1,375%",XS1405775534
Thermo Fisher Scientific Inc.,EUR,12.09.2024,"0,750%",XS1405775708
Bank of Georgia JSC,USD,26.07.2023,"6,000%",XS1405775880
Bunge Finance Europe B.V.,EUR,16.06.2023,"1,850%",XS1405777316
PerkinElmer Inc.,EUR,19.07.2026,"1,875%",XS1405780617
American International Group Inc.,EUR,08.06.2023,"1,500%",XS1405781425
Kraft Heinz Foods Co.,EUR,24.05.2024,"1,500%",XS1405782407
Kraft Heinz Foods Co.,EUR,25.05.2028,"2,250%",XS1405784015
Orange S.A.,EUR,12.05.2025,"1,000%",XS1408317433
OP-Asuntoluottopankki Oyj,EUR,11.05.2023,"0,250%",XS1408380803
FCE Bank PLC,EUR,11.05.2023,"1,615%",XS1409362784
N.V. Nederlandse Gasunie,EUR,11.05.2026,"1,000%",XS1409382030
Volvo Car AB,EUR,18.05.2021,"3,250%",XS1409634612
Kellogg Co.,EUR,17.05.2024,"1,000%",XS1410417544
AXA S.A.,EUR,15.05.2028,"1,125%",XS1410426024
MDGH - GMTN B.V.,USD,11.05.2023,"2,750%",XS1410482282
Shell International Finance B.V.,EUR,12.05.2028,"1,250%",XS1411401083
AstraZeneca PLC,EUR,12.05.2021,"0,250%",XS1411403709
AstraZeneca PLC,EUR,12.05.2028,"1,250%",XS1411404426
AstraZeneca PLC,EUR,12.05.2024,"0,750%",XS1411404855
Shell International Finance B.V.,EUR,12.05.2024,"0,750%",XS1411405662
Johnson & Johnson,EUR,20.01.2022,"0,250%",XS1411535286
Johnson & Johnson,EUR,20.05.2024,"0,650%",XS1411535799
Johnson & Johnson,EUR,20.11.2028,"1,150%",XS1412266816
Johnson & Johnson,EUR,20.05.2035,"1,650%",XS1412266907
Simon International Finance S.C.A.,EUR,13.05.2025,"1,250%",XS1412281534
National Australia Bank Ltd.,EUR,18.05.2026,"1,250%",XS1412417617
CNH Industrial Finance Europe S.A.,EUR,17.05.2023,"2,875%",XS1412424662
Santander Consumer Finance S.A.,EUR,26.05.2021,"1,000%",XS1413580579
Kreditanstalt für Wiederaufbau,EUR,30.05.2024,"0,050%",XS1414146669
Ceske Drahy AS,EUR,25.05.2023,"1,875%",XS1415366720
Coca-Cola European Partners PLC,EUR,26.05.2028,"1,750%",XS1415535696
European Investment Bank (EIB),GBP,07.09.2021,"1,125%",XS1416470323
Merlin Properties SOCIMI S.A.,EUR,23.05.2022,"2,375%",XS1416688890
4Finance S.A.,EUR,23.05.2021,"11,250%",XS1417876163
Citigroup Inc.,EUR,24.05.2021,"0,551%",XS1417876759
African Export-Import Bank,USD,24.05.2021,"4,000%",XS1418627821
Nasdaq Inc.,EUR,19.05.2023,"1,750%",XS1418630023
LeasePlan Corporation N.V.,EUR,24.05.2021,"1,000%",XS1418631930
Société Générale S.A.,EUR,26.05.2023,"0,750%",XS1418786890
Argentum Netherlands B.V.,EUR,01.10.2046,"3,500%",XS1418788755
Aegon Bank N.V.,EUR,25.05.2023,"0,250%",XS1418849482
Essity AB,EUR,26.05.2021,"0,500%",XS1419636862
BNP Paribas S.A.,EUR,25.05.2028,"1,500%",XS1419646317
Hanesbrands Finance Luxembourg S.C.A.,EUR,15.06.2024,"3,500%",XS1419661118
International Bank for Reconstruction and Development,ZAR,20.06.2024,"0,000%",XS1420336072
Holcim Finance [Luxembourg] S.A.,EUR,26.05.2023,"1,375%",XS1420337633
"Rumänien, Republik",EUR,26.05.2028,"2,875%",XS1420357318
Nederlandse Waterschapsbank N.V.,EUR,27.05.2036,"1,250%",XS1420379551
Swiss Re Finance [UK] PLC,EUR,27.05.2023,"1,375%",XS1421827269
SNCF Réseau S.A.,EUR,27.05.2021,"0,100%",XS1422033164
China Development Bank,EUR,01.06.2021,"0,500%",XS1422314689
ABN AMRO Bank N.V.,EUR,31.05.2022,"0,625%",XS1422841202
ANZ New Zealand [Intl] Ltd.,EUR,01.06.2021,"0,625%",XS1422919594
European Investment Bank (EIB),EUR,14.04.2032,"1,000%",XS1422953932
REN Finance B.V.,EUR,01.06.2023,"1,750%",XS1423826798
Danske Bank A/S,EUR,02.06.2023,"0,750%",XS1424730973
Credit Agricole S.A. [London Branch],EUR,01.12.2022,"0,750%",XS1425199848
HeidelbergCement AG,EUR,03.06.2024,"2,250%",XS1425274484
Sumitomo Mitsui Financial Group Inc.,EUR,15.06.2026,"1,546%",XS1426022536
"Kroatien, Republik",EUR,20.03.2027,"3,000%",XS1428088626
Credit Suisse AG [London Branch],EUR,07.06.2023,"1,000%",XS1428769738
BNG Bank N.V.,EUR,07.06.2024,"0,250%",XS1428771809
ESB Finance DAC,EUR,14.06.2031,"1,875%",XS1428782160
HSBC Holdings PLC,EUR,07.06.2028,"3,125%",XS1428953407
THALES S.A.,EUR,07.06.2023,"0,750%",XS1429027375
Council of Europe Development Bank (CEB),EUR,08.06.2026,"0,375%",XS1429037929
SpareBank 1 SMN,EUR,08.06.2021,"0,750%",XS1429528588
SR-Boligkreditt A.S.,EUR,08.09.2021,"0,125%",XS1429577791
ORLEN Capital AB,EUR,07.06.2023,"2,500%",XS1429673327
Nordic Investment Bank,EUR,10.06.2024,"0,125%",XS1431730388
TenneT Holding B.V.,EUR,13.06.2036,"1,875%",XS1432384409
TenneT Holding B.V.,EUR,13.06.2026,"1,000%",XS1432384664
Stora Enso Oyj,EUR,16.06.2023,"2,125%",XS1432392170
"Indonesien, Republik",EUR,14.06.2023,"2,625%",XS1432493879
Nord/LB Luxembourg S.A. Covered Bond Bank,EUR,15.06.2023,"0,375%",XS1432510631
Westpac Securities NZ Ltd. [London Branch],EUR,16.06.2021,"0,125%",XS1432593660
Cemex Finance LLC,EUR,15.06.2024,"4,625%",XS1433214449
DVB Bank SE,EUR,16.06.2023,"1,250%",XS1433231377
"Buenos Aires, Province of...",USD,15.06.2027,"7,875%",XS1433314314
Otto [GmbH & Co KG],EUR,16.06.2023,"2,500%",XS1433512891
Sysco Corp.,EUR,23.06.2023,"1,250%",XS1434170426
BNZ International Funding Ltd. [London Branch],EUR,17.06.2021,"0,125%",XS1434582703
Stadshypotek AB,EUR,20.06.2022,"0,050%",XS1435031270
Southern Power Co.,EUR,20.06.2026,"1,850%",XS1435056426
FCA Bank S.p.A. [Irish Branch],EUR,21.01.2021,"1,250%",XS1435295925
Jyske Realkredit A/S,EUR,01.07.2023,"0,250%",XS1435774903
Bank of China Ltd. [Luxembourg Branch],EUR,12.07.2021,"0,750%",XS1437623355
Teva Pharmaceutical Finance Netherlands II B.V,EUR,25.07.2020,"0,375%",XS1439749109
Teva Pharmaceutical Finance Netherlands II B.V,EUR,15.10.2024,"1,125%",XS1439749281
Teva Pharmaceutical Finance Netherlands II B.V,EUR,15.10.2028,"1,625%",XS1439749364
Deutsche Bahn Finance GmbH,EUR,11.07.2031,"0,875%",XS1441837546
Total Capital International S.A.,EUR,12.07.2023,"0,250%",XS1443997223
Total Capital International S.A.,EUR,12.07.2028,"0,750%",XS1443997819
Nestlé Holdings Inc.,USD,13.07.2021,"1,375%",XS1445566158
BNG Bank N.V.,EUR,13.07.2024,"0,050%",XS1445725218
PepsiCo Inc.,EUR,18.07.2028,"0,875%",XS1446746189
Coca-Cola Amatil Ltd.,AUD,22.07.2022,"3,125%",XS1449586673
Aroundtown SA,EUR,15.07.2024,"1,500%",XS1449707055
Deutsche Bahn Finance GmbH,EUR,19.07.2021,"0,000%",XS1451539487
Landeskreditbank Baden-Württemberg - Förderbank,USD,21.07.2021,"1,375%",XS1453477181
JPMorgan Chase & Co.,EUR,25.01.2024,"0,625%",XS1456422135
Canadian Imperial Bank of Commerce,EUR,25.07.2022,"0,000%",XS1456455572
Wells Fargo & Co.,GBP,28.07.2025,"2,000%",XS1457522727
"Zypern, Republik",EUR,26.07.2023,"3,750%",XS1457553367
Citigroup Inc.,EUR,26.10.2023,"0,750%",XS1457608013
Citigroup Inc.,EUR,26.10.2028,"1,500%",XS1457608286
Bank of America Corp.,EUR,26.07.2023,"0,750%",XS1458405898
The Goldman Sachs Group Inc.,EUR,27.07.2021,"0,839%",XS1458408306
The Goldman Sachs Group Inc.,EUR,27.07.2026,"1,625%",XS1458408561
Commonwealth Bank of Australia,EUR,27.07.2026,"0,500%",XS1458458665
Wells Fargo & Co.,AUD,27.07.2021,"3,000%",XS1458461883
Wells Fargo & Co.,AUD,27.07.2026,"3,700%",XS1458462006
Bank of America Corp.,AUD,05.08.2021,"3,300%",XS1461849447
Wells Fargo & Co.,EUR,02.02.2027,"1,000%",XS1463043973
Vodafone Group PLC,EUR,29.07.2031,"1,600%",XS1463101680
Vodafone Group PLC,GBP,08.08.2049,"3,375%",XS1468494239
Cellnex Telecom S.A.,EUR,16.01.2024,"2,375%",XS1468525057
Adient Global Holdings Ltd.,EUR,15.08.2024,"3,500%",XS1468662801
BNP Paribas S.A.,EUR,11.01.2027,"2,250%",XS1470601656
"Ghana, Republic of",USD,15.09.2022,"9,250%",XS1470699957
EDP Finance B.V.,EUR,12.02.2024,"1,125%",XS1471646965
Vodafone Group PLC,GBP,12.08.2056,"3,000%",XS1472483772
Barclays PLC,GBP,12.02.2027,"3,250%",XS1472663670
BMW Finance N.V.,GBP,16.08.2022,"0,875%",XS1473527437
Shell International Finance B.V.,EUR,15.02.2025,"0,375%",XS1476654238
Shell International Finance B.V.,EUR,15.08.2028,"0,750%",XS1476654584
NRW.BANK,USD,23.08.2021,"1,500%",XS1479554567
JPMorgan Chase & Co.,NOK,04.11.2020,"1,500%",XS1480241469
Atlas Copco AB,EUR,30.08.2026,"0,625%",XS1482736185
International Bank for Reconstruction and Development,ZAR,20.09.2024,"0,000%",XS1482770010
Íslandsbanki hf.,EUR,07.09.2020,"1,750%",XS1484148157
Koninklijke KPN N.V.,EUR,09.04.2025,"0,625%",XS1485532896
Koninklijke KPN N.V.,EUR,11.09.2028,"1,125%",XS1485533431
DNB Boligkreditt A.S.,EUR,07.09.2026,"0,250%",XS1485596511
HSBC Holdings PLC,EUR,06.09.2024,"0,875%",XS1485597329
Citycon Treasury B.V.,EUR,08.09.2026,"1,250%",XS1485608118
The Coca-Cola Co.,EUR,02.09.2036,"1,100%",XS1485643610
QNB Finance Ltd.,USD,07.09.2021,"2,125%",XS1485745704
General Motors Financial Co. Inc.,EUR,07.09.2023,"0,955%",XS1485748393
Nordea Bank Abp,EUR,07.09.2026,"1,000%",XS1486520403
Santander UK Group Holdings PLC,EUR,08.09.2023,"1,125%",XS1487315860
Saipem Finance International B.V.,EUR,08.09.2023,"3,750%",XS1487495316
Henkel AG & Co. KGaA,EUR,13.09.2021,"0,000%",XS1488418960
Henkel AG & Co. KGaA,GBP,13.09.2022,"0,875%",XS1488419935
Hemsö Fastighets AB,EUR,09.09.2026,"1,000%",XS1488494987
Glencore Finance [Europe] Ltd.,EUR,13.09.2023,"1,875%",XS1489184900
Kreditanstalt für Wiederaufbau,NOK,12.10.2021,"1,000%",XS1489186947
Deutsche Bank AG,NOK,20.09.2022,"2,500%",XS1489319258
PartnerRe Ireland Finance DAC,EUR,15.09.2026,"1,250%",XS1489391109
European Investment Bank (EIB),EUR,16.10.2023,"0,000%",XS1489409679
Crown European Holdings S.A.,EUR,30.09.2024,"2,625%",XS1490137418
IHO Verwaltungs GmbH,EUR,15.09.2026,"3,750%",XS1490159495
Coöperatieve Rabobank U.A.,NOK,16.09.2021,"1,250%",XS1490689962
Iberdrola International B.V.,EUR,15.09.2025,"0,375%",XS1490726590
European Investment Bank (EIB),CAD,16.09.2021,"1,125%",XS1490971634
V.F. Corp.,EUR,20.09.2023,"0,625%",XS1492446460
Mylan N.V.,EUR,23.11.2020,"1,250%",XS1492457236
Mylan N.V.,EUR,22.11.2024,"2,250%",XS1492457665
Mylan N.V.,EUR,22.11.2028,"3,125%",XS1492458044
Kommunalbanken AS,USD,31.08.2021,"1,500%",XS1492600058
Axalta Coating Systems Dutch Holding B B.V.,EUR,15.01.2025,"3,750%",XS1492656787
Hertz Holdings Netherlands,EUR,15.10.2021,"4,125%",XS1492665770
BP Capital Markets PLC,EUR,19.09.2024,"0,830%",XS1492671158
Celanese US Holdings LLC,EUR,26.09.2023,"1,125%",XS1492691008
European Investment Bank (EIB),PLN,25.08.2026,"2,750%",XS1492818866
Novartis Finance S.A.,EUR,20.09.2023,"0,125%",XS1492825051
Novartis Finance S.A.,EUR,20.09.2028,"0,625%",XS1492825481
Cadent Finance PLC,EUR,22.09.2024,"0,625%",XS1493320656
Swedish Match AB,EUR,23.09.2024,"0,875%",XS1493333717
Deutsche Bahn Finance GmbH,EUR,26.09.2028,"0,625%",XS1493724584
Ziggo B.V.,EUR,15.01.2027,"4,250%",XS1493836461
Commerzbank AG,NOK,23.09.2020,"1,625%",XS1495626134
Toyota Motor Credit Corp.,GBP,27.09.2022,"1,000%",XS1496010155
mFinance France S.A.,EUR,26.09.2020,"1,398%",XS1496343986
Australia and New Zealand Banking Group Ltd.,EUR,29.09.2026,"0,750%",XS1496758092
CK Hutchison Finance [16] II Ltd.,EUR,03.10.2024,"0,875%",XS1497312295
NH Hotel Group S.A.,EUR,01.10.2023,"3,750%",XS1497527736
Abu Dhabi Commercial Bank,USD,05.10.2021,"2,750%",XS1498408936
EnBW Energie Baden-Württemberg AG,USD,05.04.2077,"5,125%",XS1498442521
Stadshypotek AB,EUR,05.10.2026,"0,125%",XS1499574991
Blackstone Holdings Finance Co. LLC,EUR,05.10.2026,"1,000%",XS1499602289
Vodafone Group PLC,EUR,30.01.2024,"0,500%",XS1499604905
BASF SE,GBP,06.10.2023,"0,875%",XS1500337990
European Investment Bank (EIB),EUR,13.11.2037,"0,500%",XS1500338618
Hellenic Petroleum Finance PLC,EUR,14.10.2021,"4,875%",XS1500377517
Deutsche Telekom International Finance B.V.,GBP,06.10.2023,"1,250%",XS1501155748
